Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  1.600000000000000e+00, -2.935639628109000e-01, -2.703332350711962e-02,  3.268143558705117e-02,  2.708701381915717e-01, -2.762198468552365e-01,  1.024324046473921e-02
  1.610000000000000e+00, -2.959234671730137e-01, -1.424825250103035e-02,  2.820649652205905e-02,  2.876136731866298e-01, -2.556976315029339e-01,  8.310472716864147e-03
  1.620000000000000e+00, -2.966603647177705e-01, -1.260390730323691e-03,  2.370849533295643e-02,  3.068724357174154e-01, -2.314645059870776e-01,  8.867876008160847e-03
  1.630000000000000e+00, -2.956210691086032e-01,  1.160957851266597e-02,  1.929736086948708e-02,  3.291264585566915e-01, -2.036387001391648e-01,  1.195444721404337e-02
  1.640000000000000e+00, -2.926158603469926e-01,  2.406192993122147e-02,  1.512245021805205e-02,  3.548696824393655e-01, -1.724863241979332e-01,  1.747506276138262e-02
  1.650000000000000e+00, -2.874120029350705e-01,  3.584592149403720e-02,  1.135672528300846e-02,  3.845729733310365e-01, -1.384587283606999e-01,  2.522087002815872e-02
  1.660000000000000e+00, -2.797418107102262e-01,  4.677836394865542e-02,  8.173526206560809e-03,  4.186366661106297e-01, -1.022315567424409e-01,  3.491288386803358e-02
  1.670000000000000e+00, -2.693329296848826e-01,  5.675038083365402e-02,  5.711506328148718e-03,  4.573329081677923e-01, -6.472999636807117e-02,  4.626751760970861e-02
  1.680000000000000e+00, -2.559556772565479e-01,  6.572301173379991e-02,  4.036884367041975e-03,  5.007468088117025e-01, -2.712088474566428e-02,  5.906535265403386e-02
  1.690000000000000e+00, -2.394768691206308e-01,  7.371196225607934e-02,  3.119700453410060e-03,  5.487287907357756e-01,  9.248358603854040e-03,  7.319643869739829e-02
  1.700000000000000e+00, -2.199062312224890e-01,  8.076348345270112e-02,  2.836398799598786e-03,  6.008699726029074e-01,  4.296906925497390e-02,  8.866243499664037e-02
  1.710000000000000e+00, -1.974171225646542e-01,  8.692763050301844e-02,  3.000976391637327e-03,  6.565114783402123e-01,  7.272028942966824e-02,  1.055342967010785e-01
  1.720000000000000e+00, -1.723440175581209e-01,  9.224421403802885e-02,  3.416777194508465e-03,  7.147872751683553e-01,  9.739854047306211e-02,  1.238838883187001e-01
  1.730000000000000e+00, -1.451224161321327e-01,  9.672239171941399e-02,  3.917171470304803e-03,  7.747031739539381e-01,  1.162045067428652e-01,  1.437341989113294e-01
  1.740000000000000e+00, -1.162309449508589e-01,  1.003443687793444e-01,  4.396900160497585e-03,  8.352183219261518e-01,  1.286969071144242e-01,  1.650265828440772e-01
  1.750000000000000e+00, -8.612408980987725e-02,  1.030743306891178e-01,  4.818867998354886e-03,  8.953165673122554e-01,  1.348312258234035e-01,  1.876100724269036e-01
  1.760000000000000e+00, -5.518614736091829e-02,  1.048773013060971e-01,  5.202669231826951e-03,  9.540512770719342e-01,  1.349720384089001e-01,  2.112345679220331e-01
  1.770000000000000e+00, -2.372038484639854e-02,  1.057358946417000e-01,  5.601931865908094e-03,  1.010564826919691e+00,  1.298473937896920e-01,  2.355428640302801e-01
  1.780000000000000e+00,  8.076572872724045e-03,  1.056544005038473e-01,  6.077201564279751e-03,  1.064109394682368e+00,  1.204340669755958e-01,  2.600536218373271e-01
  1.790000000000000e+00,  4.004811992827284e-02,  1.046656480964376e-01,  6.695702335703419e-03,  1.114038854774323e+00,  1.078014612280098e-01,  2.841599158985113e-01
  1.800000000000000e+00,  7.208314354828246e-02,  1.028298293675285e-01,  7.522307112150481e-03,  1.159824301304245e+00,  9.296990151201319e-02,  3.071480181410219e-01
  1.810000000000000e+00,  1.040893062835506e-01,  1.002354210522007e-01,  8.611234954471501e-03,  1.201053332114084e+00,  7.681367362979367e-02,  3.282561555246095e-01
  1.820000000000000e+00,  1.359751719502439e-01,  9.699348388872697e-02,  9.999648859202834e-03,  1.237421470876435e+00,  6.001974486035324e-02,  3.467595602817877e-01
  1.830000000000000e+00,  1.676367008911692e-01,  9.322863653509650e-02,  1.171240838234196e-02,  1.268714859820419e+00,  4.309505084145847e-02,  3.620619141734559e-01
  1.840000000000000e+00,  1.989522712595385e-01,  8.907154915560533e-02,  1.377186487442813e-02,  1.294790321171862e+00,  2.640675502084712e-02,  3.737725217317352e-01
  1.850000000000000e+00,  2.297828053889837e-01,  8.465253318878818e-02,  1.620445536454243e-02,  1.315556339332019e+00,  1.023312581899457e-02,  3.817542445247485e-01
  1.860000000000000e+00,  2.599712793210009e-01,  8.009402709512781e-02,  1.904312148281945e-02,  1.330956716277717e+00, -5.197309921216159e-03,  3.861385344316052e-01
  1.870000000000000e+00,  2.893553329866475e-01,  7.550603138656542e-02,  2.232196879710647e-02,  1.340963464306032e+00, -1.969453311387571e-02,  3.872999366273974e-01
  1.880000000000000e+00,  3.177349614847231e-01,  7.097619806064470e-02,  2.608536495418387e-02,  1.345559187358605e+00, -3.308467255030868e-02,  3.858584668616646e-01
  1.890000000000000e+00,  3.449572845574040e-01,  6.658060684178801e-02,  3.035246922657075e-02,  1.344759024692418e+00, -4.524913355609567e-02,  3.825500521014733e-01
  1.900000000000000e+00,  3.708836138995889e-01,  6.237830443656556e-02,  3.512412319847510e-02,  1.338595119189067e+00, -5.610518370066366e-02,  3.781929306291196e-01
  1.910000000000000e+00,  3.954028232097346e-01,  5.841764970335106e-02,  4.037362346180535e-02,  1.327118424378243e+00, -6.561191842869890e-02,  3.735926841210727e-01
  1.920000000000000e+00,  4.184283256664860e-01,  5.474366955505272e-02,  4.604470488455464e-02,  1.310396131963397e+00, -7.376425820851439e-02,  3.694633891378888e-01
  1.930000000000000e+00,  4.398925359534224e-01,  5.140622461849764e-02,  5.205386003356907e-02,  1.288507366898622e+00, -8.057951770516945e-02,  3.663620031802390e-01
  1.940000000000000e+00,  4.597399486974131e-01,  4.846559943294482e-02,  5.829919324855312e-02,  1.261538019129693e+00, -8.608181247235556e-02,  3.646419618267768e-01
  1.950000000000000e+00,  4.779198175944817e-01,  4.599216098408987e-02,  6.467336707190512e-02,  1.229576589579302e+00, -9.028974985993145e-02,  3.644295757252603e-01
  1.960000000000000e+00,  4.943781015679805e-01,  4.405956412106016e-02,  7.107545259804576e-02,  1.192711949082728e+00, -9.320945266016727e-02,  3.656228217705335e-01
  1.970000000000000e+00,  5.090504414779236e-01,  4.273588227104286e-02,  7.741988648878638e-02,  1.151034830007498e+00, -9.483545804774469e-02,  3.679081609351169e-01
  1.980000000000000e+00,  5.218605434969935e-01,  4.207725730291001e-02,  8.364393156264704e-02,  1.104645172509893e+00, -9.515531422322294e-02,  3.707938186692575e-01
  1.990000000000000e+00,  5.327237113417425e-01,  4.212432192431681e-02,  8.971595881047101e-02,  1.053664323838290e+00, -9.415026813501785e-02,  3.736596122786287e-01
  2.000000000000000e+00,  5.415491626736176e-01,  4.290074108467334e-02,  9.564746502401428e-02,  9.982497204672092e-01, -9.179727534950388e-02,  3.758116718203955e-01
  2.010000000000000e+00,  5.482393917827189e-01,  4.441456925017606e-02,  1.015075718706838e-01,  9.386145381182537e-01, -8.808061850379363e-02,  3.765201975802419e-01
  2.020000000000000e+00,  5.526934613883128e-01,  4.666155483826029e-02,  1.074329811645325e-01,  8.750597160073030e-01, -8.300674115359861e-02,  3.750301554242436e-01
